Product	Hoeveelheid	Eenheid	Kcal	Eiwit	Koolhydraten	Vet
	1	-	0,00	0	0	0
aalbessen	100	g	24,00	1	5	0
aardappelen	100	g	84,80	2,6	18,6	0
aardappelkroketten	100	g	356,80	34	28,2	12
aardappelpuree	100	g	100,20	2,8	11	5
aardappelsoesje	100	g	187,60	5,3	16,4	11,2
aardappelzetmeel	100	g	338,10	0,5	83,8	0,1
aardbeien	100	g	24,00	1	5	0
abrikoos	1	stuk	20,00	0	5	0
achterham	100	g	130,00	18	1	6
all bran	100	g	267,00	14	46	3
amandelbroodje	100	g	462,50	7,6	43	28,9
amandelen	100	g	578,20	18,3	4,3	54,2
americain	100	g	125,00	20	0	5
americain prepare	100	g	244,00	16	0	20
amsoi (gekookt)	100	g	28,00	2	5	0
ananas	100	g	88,00	0	22	0
andijvie	100	g	17,40	1,8	2,1	0,2
anijshagel	100	g	393,20	0,1	98,2	0
ansjovis in olie	100	g	189,00	18	0	13
appel	1	stuk	60,00	1	14	0
appelbeignet	100	g	190,10	2,6	18,6	11,7
appelcarre	100	g	318,60	3,7	38,6	16,6
appelflap	1	stuk	146,00	2	12	10
appelmoes	100	g	76,00	0	19	0
appelstroop	1	el	44,00	0	11	0
appeltaart	100	g	233,60	3,6	38,6	7,2
aquarius	1	blikje	94,80	0	23,7	0
artisjok	100	g	59,30	2,4	12,2	0,1
asperges	100	g	16,00	1	3	0
atjar tjampoer	100	g	24,00	1	5	0
aubergine	100	g	24,00	1	5	0
augurken	100	g	18,00	0,9	3,6	0
avocado	1	stuk	226,00	4	12	18
babi pangang	100	g	217,60	13,6	3,9	16,4
babybel bonbel	100	g	314,00	22,6	0,1	24,8
bacon	100	g	430,00	13	0	42
bak- en braadvet	100	g	876,90	0,3	0	97,3
bakbokking	100	g	334,20	21,6	3	26,2
baklava	100	g	435,90	4,2	53,7	22,7
balisto	1	stuk	223,00	4	27	11
bambix	100	g	344,00	9,5	72	2
bamboespruiten	100	g	32,00	2	6	0
bami goreng	100	g	145,00	6	19	5
bamibal	100	g	274,00	7	30	14
banaan	1	stuk	124,00	1	30	0
banketbakkersroom	100	g	145,30	3,9	23,2	4,1
banketstaaf	100	g	462,50	7,6	43	28,9
barbecuesaus	100	g	92,00	1	22	0
basterdsuiker	100	g	380,00	0	95	0
bayonne-ham	100	g	258,80	24	0,2	18
BCAA's	100	g	400,00	100	0	0
belgian pickels(devos lemmens)	100	g	45,20	0,8	9,6	0,4
berehap - bereklauw	100	g	251,90	9,7	9,4	19,5
berlinerbol	100	g	386,30	5,5	39,1	23,1
beschuit	100	g	379,40	9,9	75,5	4,2
bichoc delacre	100	g	465,10	5,3	72,5	17,1
bieflap	100	g	168,40	27,8	0,8	6
biefstuk	100	g	115,00	22	0	3
bierworstje - bifiworstje	100	g	402,20	19,1	0,9	35,8
bieslook	100	g	57,00	4	8	1
bieten	100	g	20,00	2	3	0
big bacon (Quick)	1	stuk	500,60	27,2	21,9	33,8
big mac (McDonald's)	1	stuk	505,00	25,7	43,4	25,4
biogarde mager	100	g	32,90	4	4	0,1
biogarde natuur	100	g	57,10	4,6	6,3	1,5
biogarde vol	100	g	56,40	3,4	3,5	3,2
